序号,类别,名称,数据类型,隐藏初始值,初始值,掉电保持,注释,
,,Axis.sPDO.dCompare_Size_Step,DINT,,0,,比较输出数组长度/步长,
,,Axis.sPDO.dCompareValue_1,DINT,,0,,比较输出值1,
,,Axis.sPDO.dCompareValue_2,DINT,,0,,比较输出值2,
,,Axis.sPDO.dCompareAct_Num_Pos,DINT,,0,,比较输出下一段位置/比较值,
,,Axis.sPDO.iCompareErrorCode,INT,,0,,比较输出故障码,
,,Axis.sPDO.iDIStatus,INT,,0,,数字量输入端子状态,
,,Axis.sPDO.iTouchProbeFunc,INT,,0,,探针控制字,
,,Axis.sPDO.iTouchProbeStatus,INT,,0,,探针状态字,
,,Axis.sPDO.dPos1PosValue,DINT,,0,,探针1上升沿锁存位置,
,,Axis.sPDO.dPos2PosValue,DINT,,0,,探针2上升沿锁存位置,
,,Axis.sPDO.dPos1NegValue,DINT,,0,,探针1下降沿锁存位置,
,,Axis.sPDO.dPos2NegValue,DINT,,0,,探针2下降沿锁存位置,
,,Axis.sPDO.iErrorCode,INT,,0,,故障码,
,,Axis.sConfigure,_sENC_CONFIG,,...,,配置数据,
,,Axis.sConfigure.bLimitEnable,BOOL,,OFF,,使能限位,
,,Axis.sConfigure.fUnits,REAL,,0.000000,,齿轮比,
,,Axis.sConfigure.iRingMode,INT,,0,,线性环形模式,
,,Axis.sConfigure.fNegLimitPos,REAL,,0.000000,,线性模式下负向限制值,
,,Axis.sConfigure.fForLimitPos,REAL,,0.000000,,线性模式下正向限制值,
,,Axis.sConfigure.fRotationPeriod,REAL,,0.000000,,旋转模式下旋转周期,
2,IN,Retain_C,REAL,0.000000,0.000000,不保持,,
3,IN,EMC,BOOL,OFF,OFF,不保持,,
4,OUT,HomeDone,BOOL,OFF,OFF,不保持,,
5,OUT,CurPos,REAL,0.000000,0.000000,不保持,,
6,OUT,Up,BOOL,OFF,OFF,不保持,,
7,OUT,Down,BOOL,OFF,OFF,不保持,,
8,INOUT,HomeStart,BOOL,OFF,OFF,不保持,,
9,INOUT,CmdReg,INT,0,0,不保持,,
10,INOUT,LastPositon,REAL,0.000000,0.000000,不保持,,
11,VAR,Position,REAL,0.000000,0.000000,不保持,,
12,VAR,HomeStartRise,TRIG.R_TRIG,"(CLK:=OFF, M:=OFF, Q:=OFF)",...,不保持,,
,,HomeStartRise.CLK,BOOL,,OFF,,,
,,HomeStartRise.Q,BOOL,,OFF,,,
,,HomeStartRise.M,BOOL,,OFF,,,
13,VAR,TriangleL_A,REAL,629.0000,629.0000,不保持,,
14,VAR,TriangleL_B,REAL,377.0000,377.0000,不保持,,
15,VAR,TriangleL_C,REAL,475.0000,475.0000,不保持,,
16,VAR,TriangleL_C1,REAL,0.000000,0.000000,不保持,,
17,VAR,cos_C,REAL,0.000000,0.000000,不保持,,
18,VAR,deg1,REAL,0.000000,0.000000,不保持,,
