序号,类别,名称,数据类型,隐藏初始值,初始值,掉电保持,注释,
,,Axis.fAct_Acc_Dec,REAL,,0.000000,,当前加速度_减速度(只读，监控用),
,,Axis.fActTorque,REAL,,0.000000,,当前力矩(只读，监控用),
,,Axis.wPLCOpenState,INT,,0,,PLCOpen状态机(只读，监控用),
,,Axis.wConfigState,INT,,0,,配置状态(只读，监控用),
,,Axis.wAxisError,INT,,0,,轴故障(只读，监控用),
,,Axis.wServoError,INT,,0,,驱动器故障(只读，监控用),
,,Axis.bEnterDebug,BOOL,,OFF,,进入监控模式(可写，调试参数),
,,Axis.bPowerOn,BOOL,,OFF,,使能(可写，调试参数),
,,Axis.bStop,BOOL,,OFF,,停止(可写，调试参数),
,,Axis.bReset,BOOL,,OFF,,复位(可写，调试参数),
,,Axis.bJogP,BOOL,,OFF,,Jog+(可写，调试参数),
,,Axis.bJogN,BOOL,,OFF,,Jog-(可写，调试参数),
,,Axis.bHome,BOOL,,OFF,,原点回归(可写，调试参数),
,,Axis.bSetPos,BOOL,,OFF,,设置当前位置(可写，调试参数),
,,Axis.bAbsPos,BOOL,,OFF,,绝对定位(可写，调试参数),
,,Axis.bRevPos,BOOL,,OFF,,往复运动(可写，调试参数),
,,Axis.bRelPos,BOOL,,OFF,,相对定位(可写，调试参数),
,,Axis.bVelocity,BOOL,,OFF,,连续运动(可写，调试参数),
,,Axis.bTorque,BOOL,,OFF,,力矩模式(可写，调试参数),
,,Axis.wDebugMotionType,INT,,0,,调试运动类型(可写，调试参数),
,,Axis.fJogVelocity,REAL,,0.000000,,点动速度(可写，调试参数),
,,Axis.fPositionOffser,REAL,,0.000000,,原点回归偏移(可写，调试参数),
,,Axis.fPresetPosition,REAL,,0.000000,,预设位置(可写，调试参数),
,,Axis.fTarPosition1,REAL,,0.000000,,目标位置1(可写，调试参数),
,,Axis.fTarVelocity1,REAL,,0.000000,,目标速度1(可写，调试参数),
,,Axis.fTarAcceleration1,REAL,,0.000000,,目标加速度1(可写，调试参数),
,,Axis.fTarDecelaration1,REAL,,0.000000,,目标减速度1(可写，调试参数),
,,Axis.wCurveType1,INT,,0,,曲线类型1(可写，调试参数),
,,Axis.fTarPosition2,REAL,,0.000000,,目标位置2(可写，调试参数),
,,Axis.fTarVelocity2,REAL,,0.000000,,目标速度2(可写，调试参数),
,,Axis.fTarAcceleration2,REAL,,0.000000,,目标加速度2(可写，调试参数),
,,Axis.fTarDecelaration2,REAL,,0.000000,,目标减速度2(可写，调试参数),
,,Axis.wCurveType2,INT,,0,,曲线类型2(可写，调试参数),
,,Axis.dUnused,DINT,,0,,保留,
,,Axis.fTarTorque,REAL,,0.000000,,目标力矩(可写，调试参数),
,,Axis.fTarTorqueSlop,REAL,,0.000000,,力矩斜坡(可写，调试参数),
,,Axis.fLimitVelocity,REAL,,0.000000,,限制速度(可写，调试参数),
,,Axis.bSingleSyncMode,BOOL,,OFF,,单轴同步控制模式(可写，调试参数),
,,Axis.wControlWord,INT,,0,,控制字(只读，PDO数据，0x6040),
,,Axis.wStatusword,INT,,0,,状态字(只读，PDO数据，0x6041),
,,Axis.dSetPosition,DINT,,0,,目标位置(只读，PDO数据，0x607A),
,,Axis.dActPosition,DINT,,0,,当前位置(只读，PDO数据，0x6064),
,,Axis.dSetVelocity,DINT,,0,,设置速度(只读，PDO数据，0x60ff),
,,Axis.dActVelocity,DINT,,0,,当前速度(只读，PDO数据，0x606c),
,,Axis.dSetTorque,INT,,0,,设置力矩(只读，PDO数据，0x6071),
,,Axis.dActTorque,INT,,0,,当前力矩(只读，PDO数据，0x6077),
,,Axis.dDO,DINT,,0,,数字量输出(只读，PDO数据，0x60fe:1),
,,Axis.dDI,DINT,,0,,数字量输入(只读，PDO数据，0x60fd),
,,Axis.wModesOfOperation,INT,,0,,控制模式(只读，PDO数据，0x6060),
,,Axis.wModesOfOperationDisplay,INT,,0,,当前控制模式(只读，PDO数据，0x6061),
,,Axis.wTouchFunction,INT,,0,,探针功能设置(只读，PDO数据，0x60b8),
,,Axis.wTouchStatus,INT,,0,,探针状态(只读，PDO数据，0x60b9),
,,Axis.dTouch1PPos,DINT,,0,,探针1上升沿位置(只读，PDO数据，0x60ba),
,,Axis.dTouch2PPos,DINT,,0,,探针2上升沿位置(只读，PDO数据，0x60bc),
,,Axis.dTouch1NPos,DINT,,0,,探针1下降沿位置(只读，PDO数据，0x60bb),
,,Axis.dTouch2NPos,DINT,,0,,探针2下降沿位置(只读，PDO数据，0x60bd),
,,Axis.dMaxVelocity,DINT,,0,,最大速度(只读，PDO数据，0x607f),
,,Axis.wErrorCode,INT,,0,,驱动器故障码(只读，PDO数据，0x603f),
,,Axis.dProfielVelocity,DINT,,0,,轮廓速度(只读，PDO数据，0x6081),
,,Axis.dProfielAcceleration,DINT,,0,,轮廓加速度(只读，PDO数据，0x6083),
,,Axis.dProfielDeceleration,DINT,,0,,轮廓减速度(只读，PDO数据，0x6084),
,,Axis.dTarTorqueSlope,DINT,,0,,目标转矩斜坡(只读，PDO数据，0x6087),
,,Axis.dMechActPoslow,DINT,,0,,机械绝对位置低32位(只读，PDO数据，0x200B.3B),
,,Axis.dMechActPoshigh,DINT,,0,,机械绝对位置高32位(只读，PDO数据，0x200B.3D),
,,Axis.dManufacturorErrorCode,DINT,,0,,伺服故障辅助码(只读，PDO数据，0x203F),
,,Axis.wAxisRingPos,INT,,0,,轴组态位置(上电初始化，写入不生效),
,,Axis.wAxisID,INT,,0,,轴ID(上电初始化，写入不生效),
,,Axis.fUnits,REAL,,0.000000,,轴齿轮比(上电初始化，写入不生效),
,,Axis.fFilter,REAL[3],,...,,"设置主轴的滤波系数(上电初始化为1.0, 0.0, 0.0，可写入)",
,,Axis.fFilter[0],REAL,,0.000000,,,
,,Axis.fFilter[1],REAL,,0.000000,,,
,,Axis.fFilter[2],REAL,,0.000000,,,
,,Axis.bMotionState,BOOL,,OFF,,运动状态（只读，监控用）,
,,Axis.bphlimit,BOOL,,OFF,,硬件正限位状态（只读，监控用）,
,,Axis.bnhlimit,BOOL,,OFF,,硬件负限位状态（只读，监控用）,
,,Axis.bhomestate,BOOL,,OFF,,原点开关状态（只读，监控用）,
,,Axis.bpslimit,BOOL,,OFF,,软件正限位状态（只读，监控用）,
,,Axis.bnslimit,BOOL,,OFF,,软件负限位状态（只读，监控用）,
,,Axis.bTardir,BOOL,,OFF,,轴目标运动方向（只读，监控用）,
,,Axis.wSlavePos,INT,,0,,轴对应从站位置（只读，监控用）,
,,Axis.dLocialAxisSetPos,DINT,,0,,本地脉冲轴设置位置（只读，监控用）,
,,Axis.fFollowPos,REAL,,0.000000,,跟随误差（只读，监控用）,
,,Axis.fCurrentBacklash,REAL,,0.000000,,当前间隙补偿量(只读，监控用),
,,Axis.iCompensateState,INT,,0,,间隙补偿状态(只读，监控用),
,,Axis.sConfig,_sMCAXIS_CONFIG,,...,,配置参数,
,,Axis.sConfig.dPlusePreCycle,DINT,,0,,电机/编码器旋转一圈的脉冲数,
,,Axis.sConfig.fDistancePreCycle,REAL,,0.000000,,工作台旋转一圈的移动量,
,,Axis.sConfig.dNumerator,DINT,,0,,齿轮比分子,
,,Axis.sConfig.dDenominator,DINT,,0,,齿轮比分母,
,,Axis.sConfig.bDirection,BOOL,,OFF,,方向,
,,Axis.sConfig.bVirtualMode,BOOL,,OFF,,虚轴模式,
,,Axis.sConfig.bSoftLimitEnable,BOOL,,OFF,,软件限位使能控制,
,,Axis.sConfig.bEnterErrorStop,BOOL,,OFF,,轴故障不进入ErrorStop状态,
,,Axis.sConfig.bPLimitTerminalPolarity,BOOL,,OFF,,正向限位极性选择,
,,Axis.sConfig.bNLimitTerminalPolarity,BOOL,,OFF,,负向限位极性选择,
,,Axis.sConfig.bHomeTerminaPolarity,BOOL,,OFF,,原点信号极性选择,
,,Axis.sConfig.bBacklashEnable,BOOL,,OFF,,间隙补偿使能（只读，监控用）,
,,Axis.sConfig.bInitVelocityEnable,BOOL,,OFF,,轴初速度启动使能,
,,Axis.sConfig.iEncoderMode,INT,,0,,编码器模式（总线伺服轴有效）,
,,Axis.sConfig.iLineRotateMode,INT,,0,,线性/旋转模式选择,
,,Axis.sConfig.fPLimit,REAL,,0.000000,,线性模式下的正向限制值,
,,Axis.sConfig.fNLimit,REAL,,0.000000,,线性模式下的负向限制值,
,,Axis.sConfig.fRotation,REAL,,0.000000,,旋转模式下的旋转周期,
,,Axis.sConfig.fLimitDeceleraion,REAL,,0.000000,,限位减速度,
,,Axis.sConfig.fErrorStopDeceleration,REAL,,0.000000,,轴故障减速度,
,,Axis.sConfig.fFollowErrorWindow,REAL,,0.000000,,跟随误差阈值,
,,Axis.sConfig.fInVelocityWindow,REAL,,0.000000,,速度到达阈值,
,,Axis.sConfig.fMaxVelocity,REAL,,0.000000,,最大速度,
,,Axis.sConfig.fMaxJogVelocity,REAL,,0.000000,,Jog最大速度,
,,Axis.sConfig.fMaxAcc,REAL,,0.000000,,最大加速度,
,,Axis.sConfig.fMaxPTorque,REAL,,0.000000,,正扭矩最大值（总线伺服轴，仅用于指令检查，不写入伺服）,
,,Axis.sConfig.fMaxNTorque,REAL,,0.000000,,负扭矩最大值（总线伺服轴，仅用于指令检查，不写入伺服）,
,,Axis.sConfig.iHomeMethod,INT,,0,,原点回归方式（本地脉冲轴）,
,,Axis.sConfig.fHomeVelocity,REAL,,0.000000,,原点回归返回速度（本地脉冲轴）,
,,Axis.sConfig.fHomeApproachVelocity,REAL,,0.000000,,原点返回接近速度（本地脉冲轴）,
,,Axis.sConfig.fHomeAcceleration,REAL,,0.000000,,原点返回加速度（本地脉冲轴）,
,,Axis.sConfig.dHomeTimeOut,DINT,,0,,原点返回超时时间（本地脉冲轴）,
,,Axis.sConfig.iHomePositionMode,INT,,0,,原点回归位置模式选择 （本地脉冲轴）,
,,Axis.sConfig.dTouchProbeID1,DINT,,0,,探针端子1 ID号,
,,Axis.sConfig.dTouchProbeID2,DINT,,0,,探针端子2 ID号,
,,Axis.sConfig.iPluseMethod,INT,,0,,脉冲输出方式（本地脉冲轴有效）,
,,Axis.sConfig.dPLimitTerminalID,DINT,,0,,正向限位信号ID,
,,Axis.sConfig.dNLimitTerminalID,DINT,,0,,负向限位信号ID,
,,Axis.sConfig.dHomeTerminalID,DINT,,0,,原点信号ID,
,,Axis.sConfig.fBacklash,REAL,,0.000000,,间隙补偿量,
,,Axis.sConfig.fBacklashVelocity,REAL,,0.000000,,间隙补偿速度,
,,Axis.sConfig.iHomeDirection,INT,,0,,绝对回零方向,
3,IN,Reset,BOOL,OFF,OFF,不保持,,
4,IN,AbsPosition,REAL,0.000000,0.000000,不保持,,
5,IN,IncDistance,REAL,0.000000,0.000000,不保持,,
6,IN,EMC,BOOL,OFF,OFF,不保持,,
7,OUT,UpperLimitFlag,BOOL,OFF,OFF,不保持,,
8,OUT,LowerLimitFlag,BOOL,OFF,OFF,不保持,,
9,OUT,OriginFlag,BOOL,OFF,OFF,不保持,,
10,OUT,Connected,BOOL,OFF,OFF,不保持,,
11,OUT,ServoErrorID,INT,0,0,不保持,,
12,OUT,AxisErrorID,INT,0,0,不保持,,
13,OUT,ErrorFlag,BOOL,OFF,OFF,不保持,,
14,OUT,ServoOnedFlag,BOOL,OFF,OFF,不保持,,
15,OUT,Position,REAL,0.000000,0.000000,不保持,,
16,OUT,Torque,REAL,0.000000,0.000000,不保持,,
17,OUT,HomeDone,BOOL,OFF,OFF,不保持,,
18,OUT,MoveAbsoluteDone,BOOL,OFF,OFF,不保持,,
19,OUT,MoveAbsoluteBusy,BOOL,OFF,OFF,不保持,,
20,OUT,MoveRelativeDone,BOOL,OFF,OFF,不保持,,
21,OUT,MoveRelativeBusy,BOOL,OFF,OFF,不保持,,
22,OUT,StatusDisabled,BOOL,OFF,OFF,不保持,,
23,OUT,StatusErrorStop,BOOL,OFF,OFF,不保持,,
24,OUT,StatusStopping,BOOL,OFF,OFF,不保持,,
25,OUT,StatusStandstill,BOOL,OFF,OFF,不保持,,
26,OUT,StatusDiscreteMotion,BOOL,OFF,OFF,不保持,,
27,OUT,StatusContinuousMotion,BOOL,OFF,OFF,不保持,,
28,OUT,StatusSynchronizedMotion,BOOL,OFF,OFF,不保持,,
29,OUT,StatusHoming,BOOL,OFF,OFF,不保持,,
30,INOUT,ServoOn,BOOL,OFF,OFF,不保持,,
31,INOUT,Home,BOOL,OFF,OFF,不保持,,
32,INOUT,JogForward,BOOL,OFF,OFF,不保持,,
33,INOUT,JogBackward,BOOL,OFF,OFF,不保持,,
34,INOUT,AbsCMD,BOOL,OFF,OFF,不保持,,
35,INOUT,IncForwardCMD,BOOL,OFF,OFF,不保持,,
36,INOUT,IncBackwardCMD,BOOL,OFF,OFF,不保持,,
37,INOUT,Acc,REAL,0.000000,0.000000,不保持,,
38,INOUT,Dece,REAL,0.000000,0.000000,不保持,,
39,INOUT,JogVel,REAL,0.000000,0.000000,不保持,,
40,INOUT,MoveVel,REAL,0.000000,0.000000,不保持,,
41,INOUT,Stop,BOOL,OFF,OFF,不保持,,
42,INOUT,MoveMode,INT,0,0,不保持,运动模式 1:JOG 2:绝对定位 3:相对定位,
43,VAR,DIStatus,DINT,0,0,不保持,,
44,VAR,MoveAbsoluteDone1,BOOL,OFF,OFF,不保持,,
45,VAR,IncDistance1,REAL,0.000000,0.000000,不保持,,
